Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 ;70385430539;149360346970;9009468295;149360346970;341.765
1;3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 ;70386668965;150282430008;9013010527;150282430008;342.522
2;3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 ;70381237160;151192373609;8879345610;151192373609;342.085
Average;;70384445555;150278383529;8967274811;150278383529;342.124
