Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 ;137543236891;294908251539;18487511283;294908251539;690.827
1;5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 ;137491302858;291712676469;18630143018;291712676469;668.035
2;5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 ;137531168171;291715131899;18623668174;291715131899;680.066
Average;;137521902640;292778686636;18580440825;292778686636;679.643
