Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;8792750849;18623160187;1161880620;18623160187;43.9276
1;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;8781828118;18631464663;1174556474;18631464663;39.4994
2;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;8781445402;18651143543;1170155463;18651143543;39.4195
Average;;8785341456;18635256131;1168864186;18635256131;40.9488
