Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;180300 180300 180300 180300 180300 180300 180300 180300 180300 180300 ;27108400;57368180;1164063;57368180;0.112726
1;180300 180300 180300 180300 180300 180300 180300 180300 180300 180300 ;27112330;57401258;1130692;57401258;0.11525
2;180300 180300 180300 180300 180300 180300 180300 180300 180300 180300 ;27108182;57351398;1125212;57351398;0.112918
3;180300 180300 180300 180300 180300 180300 180300 180300 180300 180300 ;27106468;57316002;1123808;57316002;0.110976
4;180300 180300 180300 180300 180300 180300 180300 180300 180300 180300 ;27106516;57337024;1123021;57337024;0.117467
5;180300 180300 180300 180300 180300 180300 180300 180300 180300 180300 ;27106125;57412913;1123622;57412913;0.110366
6;180300 180300 180300 180300 180300 180300 180300 180300 180300 180300 ;27106456;57409394;1124299;57409394;0.110379
Average;;27107782;57370881;1130674;57370881;0.112869
