Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;4398395408;4362191810;485543976;4362191810;11.5505
1;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;4398363308;4361617267;485240588;4361617267;11.5429
2;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;4398363316;4363034344;485320697;4363034344;11.5409
3;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;4398391958;4362704200;484870271;4362704200;11.5476
4;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;4398378557;4362084116;484923267;4362084116;11.5526
5;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;4398354345;4364497985;484467578;4364497985;11.5453
6;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;4398396281;4364697891;484236002;4364697891;11.5632
Average;;4398377596;4362975373;484943197;4362975373;11.549
