Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;59568314509;58378287479;10143469799;58378287479;162.167
1;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;59568745151;58079452964;10018440343;58079452964;161.881
2;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;59558531997;57551127831;9784005713;57551127831;161.517
3;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;59564331010;57613291667;9735792427;57613291667;163.306
4;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;59574093382;57999553920;10023114663;57999553920;159.464
5;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;59561746943;57820899384;9843000195;57820899384;162.984
6;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;59533760118;57446355233;9506454642;57446355233;167.891
Average;;59561360444;57841281211;9864896826;57841281211;162.744
