Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;500500 500500 500500 500500 500500 500500 500500 500500 500500 500500 ;125786453;255002263;7748210;255002263;0.646976
1;500500 500500 500500 500500 500500 500500 500500 500500 500500 500500 ;125817001;253672509;7096910;253672509;0.644316
2;500500 500500 500500 500500 500500 500500 500500 500500 500500 500500 ;125738835;253413019;7113819;253413019;0.641176
3;500500 500500 500500 500500 500500 500500 500500 500500 500500 500500 ;125743108;253348889;7112521;253348889;0.639499
4;500500 500500 500500 500500 500500 500500 500500 500500 500500 500500 ;125759816;253583973;7108624;253583973;0.641111
5;500500 500500 500500 500500 500500 500500 500500 500500 500500 500500 ;125742115;253754274;7102952;253754274;0.64071
6;500500 500500 500500 500500 500500 500500 500500 500500 500500 500500 ;125738421;253236369;7116606;253236369;0.640919
Average;;125760821;253715899;7199949;253715899;0.642101
