Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;748445816;1448352946;55151654;1448352946;4.04238
1;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;748417196;1447777482;55236299;1447777482;4.05095
2;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;748425945;1447514740;55282777;1447514740;4.05324
3;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;748436879;1447649807;55239571;1447649807;4.04596
4;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;748479884;1447601650;55249807;1447601650;4.05333
5;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;748672902;1448712421;55141866;1448712421;4.0481
6;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;748543864;1448476837;55171157;1448476837;4.05291
Average;;748488927;1448012269;55210447;1448012269;4.04955
