Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;17639771715;20990435979;16373808783;20990435979;39.6709
1;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;17639647645;20991703141;16373668223;20991703141;39.755
2;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;17639719008;20993492379;16373721711;20993492379;39.7247
3;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;17639924896;20992870892;16373716973;20992870892;39.6723
4;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;17639802967;20990560264;16373789501;20990560264;39.6524
5;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;17639661874;20987995720;16373720805;20987995720;39.7129
6;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;17639733861;21162931268;16375019375;21162931268;39.7953
Average;;17639751709;21015712806;16373920767;21015712806;39.7119
