Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;180300 180300 180300 180300 180300 180300 180300 180300 180300 180300 ;244259278;43988482;217952684;43988482;0.207848
1;180300 180300 180300 180300 180300 180300 180300 180300 180300 180300 ;244322949;43920938;218004556;43920938;0.203581
2;180300 180300 180300 180300 180300 180300 180300 180300 180300 180300 ;244256013;44034370;217951628;44034370;0.208742
3;180300 180300 180300 180300 180300 180300 180300 180300 180300 180300 ;244340654;43934458;218018331;43934458;0.206495
4;180300 180300 180300 180300 180300 180300 180300 180300 180300 180300 ;244339740;43980171;218024176;43980171;0.208133
5;180300 180300 180300 180300 180300 180300 180300 180300 180300 180300 ;244338635;43969028;218022423;43969028;0.202769
6;180300 180300 180300 180300 180300 180300 180300 180300 180300 180300 ;244341460;43966573;218021958;43966573;0.204023
Average;;244314104;43970574;217999394;43970574;0.205942
