Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;50267624877;98957210601;46585688246;98957210601;119.628
1;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;50268304058;98666437180;46601260228;98666437180;118.298
2;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;50268476363;98667390008;46601233524;98667390008;118.306
3;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;50268734166;98665165180;46601443276;98665165180;118.286
4;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;50268629498;98681762383;46601098502;98681762383;118.385
5;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;50266247916;98478458002;46577379822;98478458002;127.239
6;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;50266237583;98072824540;46573111588;98072824540;125.244
Average;;50267750637;98598463985;46591602169;98598463985;120.77
