Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;500500 500500 500500 500500 500500 500500 500500 500500 500500 500500 ;1226678049;309440770;1106986911;309440770;1.3902
1;500500 500500 500500 500500 500500 500500 500500 500500 500500 500500 ;1226679626;309535861;1106989888;309535861;1.38956
2;500500 500500 500500 500500 500500 500500 500500 500500 500500 500500 ;1226672618;309448932;1106985226;309448932;1.39411
3;500500 500500 500500 500500 500500 500500 500500 500500 500500 500500 ;1226676273;309446049;1106981040;309446049;1.40044
4;500500 500500 500500 500500 500500 500500 500500 500500 500500 500500 ;1226669383;309592570;1106977684;309592570;1.3841
5;500500 500500 500500 500500 500500 500500 500500 500500 500500 500500 ;1226675180;303663133;1107229226;303663133;1.50747
6;500500 500500 500500 500500 500500 500500 500500 500500 500500 500500 ;1226718584;286758953;1108746632;286758953;1.62376
Average;;1226681388;305412324;1107270944;305412324;1.44138
