Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;17646489601;17115241998;2920989536;17115241998;51.404
1;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;17648240727;17222566027;2988324241;17222566027;49.1731
2;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;17648655107;17235470350;2987569617;17235470350;48.963
3;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;17646750104;17216443181;2977343480;17216443181;48.9958
4;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;17649240334;17234517118;2987777906;17234517118;49.0669
5;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;17647602352;17208248718;2977460065;17208248718;49.0103
6;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;17647591757;17232645952;2991445828;17232645952;48.6779
Average;;17647795712;17209304763;2975844382;17209304763;49.3273
