Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 ;141126988604;136705095856;22708791698;136705095856;409.667
1;3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 ;141118276219;137219098939;22688371935;137219098939;416.266
2;3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 ;141112577317;136557355728;22449065208;136557355728;416.342
Average;;141119280713;136827183508;22615409614;136827183508;414.092
