Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;6761095340;6693464291;741980012;6693464291;17.7675
1;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;6761074761;6694119223;743598768;6694119223;17.7614
2;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;6761083136;6692667716;741620514;6692667716;17.76
3;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;6761086564;6693104386;740334267;6693104386;17.7491
4;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;6761073175;6697076972;742677127;6697076972;17.7566
5;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;6761096968;6696481198;742727098;6696481198;17.8182
6;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;6761096479;6693609493;743046495;6693609493;17.7657
Average;;6761086632;6694360468;742283469;6694360468;17.7684
