Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;2069711543;2635679135;217772556;2635679135;7.48251
1;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;2069605864;2635497416;217623026;2635497416;7.48141
2;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;2070004908;2637463071;216725102;2637463071;7.48188
3;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;2070721859;2637653893;214641447;2637653893;7.48391
4;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;2070458154;2654406752;201564854;2654406752;7.0027
5;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;2070673005;2660067308;198019212;2660067308;6.91088
6;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;2070662378;2660122700;197750733;2660122700;6.91211
Average;;2070262530;2645841468;209156704;2645841468;7.25077
