Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;980700 980700 980700 980700 980700 980700 980700 980700 980700 980700 ;347727677;679515032;22907699;679515032;1.88372
1;980700 980700 980700 980700 980700 980700 980700 980700 980700 980700 ;347760413;679682504;22838068;679682504;1.88507
2;980700 980700 980700 980700 980700 980700 980700 980700 980700 980700 ;347706835;679499717;22889620;679499717;1.89582
3;980700 980700 980700 980700 980700 980700 980700 980700 980700 980700 ;347751179;679555401;22856850;679555401;1.89214
4;980700 980700 980700 980700 980700 980700 980700 980700 980700 980700 ;347724000;679625759;22881779;679625759;1.8857
5;980700 980700 980700 980700 980700 980700 980700 980700 980700 980700 ;347743110;679856239;22896317;679856239;1.88437
6;980700 980700 980700 980700 980700 980700 980700 980700 980700 980700 ;347739875;679453194;22919638;679453194;1.88431
Average;;347736156;679598264;22884282;679598264;1.8873
