Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 ;70209000808;150782585500;9057386137;150782585500;383.386
1;3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 ;70217424574;151028971642;9214534080;151028971642;391.581
2;3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 ;70225863420;150718704832;9198776814;150718704832;393.192
Average;;70217429601;150843420658;9156899010;150843420658;389.386
