Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 ;137102702500;307484522693;17333497323;307484522693;615.094
1;5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 ;137128259040;307434126573;17309278768;307434126573;621.336
2;5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 ;137071827628;300443511710;17568699918;300443511710;599.766
Average;;137100929723;305120720325;17403825336;305120720325;612.065
