Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;9070377254;6971119732;8401177046;6971119732;19.1618
1;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;9070345179;6991925998;8400239300;6991925998;19.0898
2;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;9070306802;6962163076;8399465141;6962163076;18.6389
3;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;9070087982;6894885469;8399039860;6894885469;18.5787
4;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;9070030251;6876113444;8399064979;6876113444;18.7521
5;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;9070126878;6886288030;8398564527;6886288030;18.7414
6;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;9070126529;6879980160;8398888693;6879980160;18.7827
Average;;9070200125;6923210844;8399491364;6923210844;18.8208
