Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;30877074410;50961052729;28670186612;50961052729;71.7669
1;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;30877537272;51334246423;28657322337;51334246423;73.6107
2;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;30876654106;50948397325;28671434556;50948397325;71.6933
3;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;30876742663;50943451877;28671712463;50943451877;71.689
4;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;30876693444;50928222190;28672249687;50928222190;71.6867
5;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;30876683901;50948912787;28671350715;50948912787;71.9003
6;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;30877240169;50969451724;28671123597;50969451724;72.1096
Average;;30876946566;51004819294;28669339995;51004819294;72.0652
