Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 ;150146079932;493620338308;30874152379;493620338308;647.498
1;5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 ;150057766129;491422088816;30949463357;491422088816;625.861
2;5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 ;150099592050;502785223829;30779549741;502785223829;634.313
Average;;150101146037;495942550318;30867721826;495942550318;635.891
