Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;32435164201;107857038924;6406384188;107857038924;133.887
1;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;32438472088;106827787801;6407506203;106827787801;134.219
2;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;32439271823;106837195207;6408206732;106837195207;134.947
Average;;32437636037;107174007311;6407365708;107174007311;134.351
