Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;9627335724;30571094074;1930427567;30571094074;41.3126
1;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;9608845577;30250073676;1964543587;30250073676;39.164
2;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;9604695684;29996352682;1975561277;29996352682;38.6496
Average;;9613625662;30272506811;1956844144;30272506811;39.7087
