Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 ;76977398646;251316760086;15275282841;251316760086;345.526
1;3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 ;76920379487;245311163799;15477188312;245311163799;345.415
2;3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 ;76933601780;246169157435;15446454470;246169157435;345.826
Average;;76943793304;247599027107;15399641874;247599027107;345.589
