Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 ;72472389913;177176131328;12114783681;177176131328;368.514
1;3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 ;72472022124;177166299353;12124361745;177166299353;370.974
2;3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 3.35585e+07 ;72472608670;177172281184;12125669013;177172281184;370.595
Average;;72472340236;177171570622;12121604813;177171570622;370.028
