Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;30541568094;77322674439;4804292126;77322674439;122.489
1;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;30541788719;76924288560;4810850447;76924288560;122.428
2;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;30537705411;76185117593;4852811800;76185117593;122.899
Average;;30540354075;76810693531;4822651458;76810693531;122.605
