Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;29637214072;64589171143;3292671826;64589171143;128.001
1;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;29637098276;64589529222;3289548173;64589529222;127.953
2;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;29637135877;64595061529;3292875191;64595061529;128.223
3;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;29637144111;64598588792;3286086383;64598588792;127.669
4;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;29639311215;64642431477;3283630938;64642431477;129.126
5;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;29642806084;65157225985;3261640355;65157225985;128.918
6;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;29637772762;65127627237;3270974986;65127627237;125.57
Average;;29638354628;64757090769;3282489693;64757090769;127.923
